Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
66.0,72.0,68.86,1.0,-0.17,-0.17,-0.17,0.06,0.07,0.07,-0.99,-0.98,-0.99,0.0,5.0,0.0
61.0,61.0,61.0,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
68.0,68.0,68.0,1.0,0.32,0.77,0.67,-0.65,0.08,-0.42,-0.99,-0.39,-0.58,0.0,0.0,0.0
68.0,70.0,68.5,1.0,-0.53,-0.52,-0.53,0.65,0.66,0.65,-0.55,-0.54,-0.54,0.0,5.0,0.0
70.0,72.0,71.2,1.0,-0.54,-0.53,-0.54,-0.33,-0.32,-0.33,-0.79,-0.78,-0.78,0.0,0.0,0.0
60.0,68.0,65.5,1.0,-0.26,-0.25,-0.25,-0.47,-0.47,-0.47,-0.85,-0.84,-0.85,0.0,0.0,0.0
61.0,64.0,62.33,1.0,0.41,0.42,0.42,-0.36,-0.35,-0.36,-0.85,-0.83,-0.84,0.0,0.0,0.0
63.0,68.0,65.83,1.0,0.1,0.1,0.1,0.22,0.22,0.22,-0.98,-0.97,-0.97,0.0,5.0,0.0
67.0,69.0,68.14,1.0,0.69,0.71,0.7,-0.61,-0.59,-0.6,-0.39,-0.38,-0.39,0.0,0.0,0.0
66.0,69.0,67.5,1.0,-0.27,-0.26,-0.27,-0.53,-0.52,-0.52,-0.82,-0.8,-0.81,0.0,0.0,0.0
65.0,66.0,65.8,1.0,0.09,0.1,0.1,0.2,0.25,0.23,-0.98,-0.95,-0.97,0.0,5.0,0.0
68.0,71.0,69.4,1.0,0.07,0.11,0.1,0.21,0.31,0.22,-1.01,-0.94,-0.97,0.0,5.0,0.0
66.0,68.0,67.43,1.0,-0.27,-0.26,-0.27,-0.53,-0.52,-0.53,-0.82,-0.8,-0.81,0.0,0.0,0.0
62.0,74.0,68.33,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
68.0,69.0,68.6,1.0,0.08,0.11,0.09,0.22,0.23,0.22,-0.98,-0.97,-0.97,0.0,5.0,0.0
67.0,68.0,67.33,1.0,0.69,0.71,0.7,-0.61,-0.59,-0.6,-0.39,-0.38,-0.39,0.0,0.0,0.0
65.0,70.0,67.83,1.0,0.1,0.11,0.11,0.2,0.21,0.2,-0.98,-0.97,-0.98,0.0,5.0,0.0
62.0,66.0,63.5,1.0,-0.17,-0.17,-0.17,0.06,0.07,0.07,-0.99,-0.98,-0.99,0.0,5.0,0.0
68.0,69.0,68.5,1.0,0.0,0.01,0.0,0.05,0.06,0.05,-1.01,-1.0,-1.0,0.0,5.0,0.0
70.0,74.0,71.6,1.0,-0.17,-0.17,-0.17,0.07,0.07,0.07,-0.99,-0.98,-0.99,0.0,5.0,0.0
66.0,68.0,67.17,1.0,0.68,0.69,0.69,-0.5,-0.49,-0.5,-0.54,-0.53,-0.53,0.0,0.0,0.0
74.0,78.0,76.5,1.0,0.1,0.11,0.11,0.2,0.21,0.21,-0.98,-0.97,-0.97,0.0,5.0,0.0
63.0,64.0,63.17,1.0,0.05,0.05,0.05,0.35,0.35,0.35,-0.94,-0.93,-0.94,0.0,5.0,0.0
71.0,73.0,72.0,1.0,0.28,0.52,0.34,-0.51,-0.28,-0.34,-0.98,-0.64,-0.88,0.0,0.0,0.0
69.0,71.0,69.83,1.0,-0.53,-0.53,-0.53,0.65,0.66,0.65,-0.55,-0.54,-0.54,0.0,5.0,0.0
61.0,66.0,62.33,1.0,0.05,0.05,0.05,0.35,0.35,0.35,-0.94,-0.93,-0.94,0.0,5.0,0.0
61.0,61.0,61.0,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
68.0,69.0,68.33,1.0,0.69,0.71,0.7,-0.61,-0.59,-0.6,-0.39,-0.38,-0.39,0.0,0.0,0.0
64.0,68.0,66.14,1.0,0.09,0.1,0.1,-0.06,-0.06,-0.06,-1.0,-0.99,-1.0,0.0,0.0,0.0
60.0,62.0,61.0,1.0,0.05,0.05,0.05,0.34,0.35,0.35,-0.94,-0.93,-0.94,0.0,5.0,0.0
64.0,71.0,67.0,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
67.0,71.0,68.4,1.0,0.01,0.02,0.01,0.25,0.26,0.25,-0.97,-0.97,-0.97,0.0,5.0,0.0
72.0,75.0,73.17,1.0,0.31,0.32,0.32,-0.0,0.0,0.0,-0.95,-0.95,-0.95,0.0,5.0,0.0
59.0,60.0,59.33,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
67.0,69.0,67.5,1.0,0.68,0.69,0.69,-0.5,-0.49,-0.5,-0.54,-0.53,-0.54,0.0,0.0,0.0
63.0,65.0,63.83,1.0,0.05,0.05,0.05,0.34,0.35,0.35,-0.94,-0.94,-0.94,0.0,5.0,0.0
60.0,61.0,60.33,1.0,0.05,0.05,0.05,0.34,0.35,0.34,-0.94,-0.94,-0.94,0.0,5.0,0.0
63.0,64.0,63.5,1.0,0.05,0.05,0.05,0.35,0.35,0.35,-0.94,-0.93,-0.94,0.0,5.0,0.0
59.0,64.0,60.5,1.0,0.41,0.42,0.41,-0.36,-0.35,-0.36,-0.85,-0.84,-0.84,0.0,0.0,0.0
62.0,66.0,64.0,1.0,-0.17,-0.17,-0.17,0.06,0.07,0.07,-0.99,-0.98,-0.99,0.0,5.0,0.0
