Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
67.0,68.0,67.5,1.0,0.09,0.09,0.09,0.22,0.22,0.22,-0.98,-0.97,-0.97,0.0,0.0,0.0
67.0,73.0,69.33,1.0,-0.25,-0.24,-0.25,-0.49,-0.48,-0.48,-0.85,-0.84,-0.84,0.0,0.0,0.0
66.0,67.0,66.2,1.0,0.09,0.11,0.1,-0.07,-0.05,-0.06,-1.01,-0.97,-1.0,0.0,0.0,0.0
68.0,71.0,69.5,1.0,-0.27,-0.26,-0.27,-0.53,-0.52,-0.52,-0.82,-0.81,-0.81,0.0,0.0,0.0
66.0,75.0,72.83,1.0,-0.27,-0.26,-0.27,-0.52,-0.51,-0.52,-0.82,-0.81,-0.82,0.0,0.0,0.0
68.0,68.0,68.0,1.0,0.68,0.7,0.69,-0.5,-0.47,-0.5,-0.55,-0.53,-0.54,0.0,0.0,0.0
70.0,71.0,70.4,1.0,-0.54,-0.5,-0.51,-0.35,-0.33,-0.34,-0.8,-0.77,-0.79,0.0,0.0,0.0
67.0,84.0,75.5,1.0,0.07,0.07,0.07,0.03,0.03,0.03,-1.0,-1.0,-1.0,0.0,0.0,0.0
63.0,68.0,66.17,1.0,0.38,0.4,0.38,-0.31,-0.27,-0.28,-0.89,-0.85,-0.88,0.0,0.0,0.0
68.0,71.0,69.17,1.0,-0.25,-0.24,-0.25,-0.49,-0.48,-0.48,-0.85,-0.83,-0.84,0.0,0.0,0.0
71.0,72.0,71.33,1.0,0.73,0.98,0.85,-0.3,0.67,0.21,-0.6,-0.16,-0.44,0.0,0.0,0.0
61.0,70.0,64.83,1.0,0.41,0.42,0.41,-0.36,-0.35,-0.36,-0.85,-0.84,-0.84,0.0,0.0,0.0
59.0,64.0,60.5,1.0,0.41,0.42,0.41,-0.36,-0.35,-0.36,-0.85,-0.84,-0.84,0.0,0.0,0.0
60.0,65.0,62.0,1.0,-0.27,-0.26,-0.27,-0.52,-0.51,-0.52,-0.82,-0.81,-0.82,0.0,0.0,0.0
62.0,68.0,65.83,1.0,0.32,0.33,0.32,-0.0,0.0,-0.0,-0.95,-0.95,-0.95,0.0,0.0,0.0
68.0,69.0,68.17,1.0,0.71,0.72,0.71,-0.43,-0.42,-0.42,-0.57,-0.56,-0.56,0.0,0.0,0.0
68.0,68.0,68.0,1.0,0.07,0.07,0.07,0.02,0.02,0.02,-1.0,-1.0,-1.0,0.0,0.0,0.0
59.0,77.0,65.33,1.0,0.38,0.39,0.38,-0.29,-0.28,-0.29,-0.88,-0.88,-0.88,0.0,0.0,0.0
66.0,72.0,68.5,1.0,0.39,0.9,0.69,-0.78,0.11,-0.48,-0.95,0.0,-0.48,1.0,1.0,0.0
63.0,67.0,65.5,1.0,0.07,0.07,0.07,0.03,0.03,0.03,-1.01,-0.99,-1.0,1.0,1.0,0.0
64.0,66.0,65.17,1.0,0.09,0.1,0.1,-0.07,-0.06,-0.06,-1.0,-0.99,-1.0,1.0,1.0,0.0
68.0,69.0,68.6,1.0,0.09,0.09,0.09,0.22,0.22,0.22,-0.98,-0.97,-0.97,1.0,1.0,0.0
61.0,70.0,64.8,1.0,-0.26,-0.26,-0.26,0.3,0.3,0.3,-0.92,-0.91,-0.92,1.0,1.0,0.0
68.0,84.0,76.0,1.0,-0.24,-0.23,-0.24,-0.49,-0.48,-0.49,-0.85,-0.84,-0.84,1.0,1.0,0.0
63.0,65.0,64.29,1.0,-0.27,-0.27,-0.27,0.33,0.34,0.34,-0.91,-0.9,-0.9,1.0,1.0,0.0
67.0,73.0,68.67,1.0,-0.24,-0.24,-0.24,-0.17,-0.16,-0.16,-0.97,-0.96,-0.96,1.0,1.0,0.0
65.0,71.0,68.0,1.0,0.06,0.07,0.07,0.03,0.03,0.03,-1.0,-1.0,-1.0,1.0,1.0,0.0
61.0,65.0,62.8,1.0,0.07,0.07,0.07,0.03,0.03,0.03,-1.0,-1.0,-1.0,1.0,1.0,0.0
67.0,71.0,68.83,1.0,0.32,0.33,0.32,-0.0,0.0,-0.0,-0.95,-0.95,-0.95,1.0,1.0,0.0
66.0,68.0,67.67,1.0,0.32,0.33,0.32,-0.0,0.0,-0.0,-0.95,-0.95,-0.95,1.0,1.0,0.0
60.0,66.0,62.83,1.0,0.32,0.32,0.32,-0.0,0.0,0.0,-0.95,-0.95,-0.95,1.0,1.0,0.0
66.0,68.0,67.33,1.0,-0.27,-0.27,-0.27,0.33,0.34,0.33,-0.91,-0.9,-0.9,1.0,1.0,0.0
