Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
58.0,60.0,58.67,0.99,-0.45,-0.29,-0.4,-0.15,0.31,0.04,-1.09,-0.87,-0.91,0.0,0.0,25.0
59.0,61.0,60.33,1.0,-0.94,0.08,-0.41,-0.08,0.95,0.38,-0.99,0.0,-0.74,0.0,0.0,25.0
60.0,66.0,63.83,1.0,0.5,0.52,0.5,-0.11,-0.09,-0.1,-0.86,-0.84,-0.85,0.0,0.0,25.0
61.0,66.0,64.5,0.99,-0.02,0.7,0.47,-1.0,-0.08,-0.5,-1.02,0.14,-0.61,0.0,0.0,25.0
61.0,61.0,61.0,1.0,0.54,0.55,0.55,-0.67,-0.66,-0.66,-0.51,-0.5,-0.51,0.0,0.0,25.0
57.0,58.0,57.33,1.0,0.3,0.32,0.31,-0.21,-0.2,-0.21,-0.93,-0.92,-0.92,1.0,2.0,25.0
56.0,58.0,57.0,1.0,0.28,0.3,0.29,-0.21,-0.2,-0.21,-0.93,-0.92,-0.93,1.0,2.0,25.0
59.0,59.0,59.0,1.0,0.28,0.29,0.29,-0.22,-0.2,-0.21,-0.94,-0.92,-0.93,1.0,2.0,25.0
59.0,60.0,59.2,1.0,0.28,0.29,0.29,-0.21,-0.19,-0.2,-0.94,-0.93,-0.93,1.0,2.0,25.0
60.0,60.0,60.0,1.0,0.28,0.29,0.28,-0.21,-0.19,-0.2,-0.94,-0.93,-0.93,1.0,3.0,25.0
59.0,59.0,59.0,1.0,0.27,0.29,0.28,-0.2,-0.19,-0.2,-0.94,-0.93,-0.93,1.0,3.0,25.0
59.0,59.0,59.0,1.0,0.27,0.29,0.28,-0.2,-0.19,-0.2,-0.94,-0.93,-0.94,1.0,3.0,25.0
59.0,60.0,59.17,1.0,0.27,0.29,0.28,-0.2,-0.19,-0.19,-0.94,-0.93,-0.94,1.0,3.0,25.0
58.0,59.0,58.8,0.99,-0.52,-0.5,-0.51,-0.1,-0.08,-0.09,-0.85,-0.84,-0.84,1.0,2.0,25.0
60.0,67.0,62.0,1.0,-0.54,-0.31,-0.51,-0.13,1.1,-0.04,-1.0,-0.76,-0.84,1.0,2.0,25.0
57.0,60.0,58.17,0.99,-0.4,-0.39,-0.4,0.24,0.26,0.25,-0.88,-0.87,-0.87,1.0,2.0,25.0
63.0,67.0,65.0,0.99,-0.4,-0.39,-0.39,0.18,0.2,0.19,-0.89,-0.88,-0.89,1.0,2.0,25.0
64.0,66.0,64.5,0.99,-0.41,-0.4,-0.41,0.27,0.29,0.28,-0.86,-0.85,-0.86,0.0,5.0,25.0
54.0,59.0,58.17,1.0,-0.4,-0.13,-0.38,-0.93,-0.17,-0.24,0.35,0.91,0.86,1.0,1.0,25.0
59.0,59.0,59.0,1.0,-0.36,-0.35,-0.36,-0.18,-0.18,-0.18,0.91,0.92,0.92,1.0,2.0,25.0
57.0,59.0,58.5,1.0,-1.08,0.27,-0.36,-0.18,-0.01,-0.18,0.9,0.94,0.92,1.0,2.0,25.0
58.0,59.0,58.5,1.0,-0.36,-0.35,-0.36,-0.18,-0.17,-0.18,0.91,0.92,0.92,1.0,2.0,25.0
57.0,58.0,57.83,1.0,-0.37,-0.36,-0.36,-0.16,-0.16,-0.16,0.92,0.92,0.92,1.0,3.0,25.0
57.0,60.0,58.43,1.0,-0.37,-0.36,-0.36,-0.17,-0.16,-0.16,0.91,0.92,0.92,1.0,3.0,25.0
