Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
59.0,61.0,60.33,1.0,-0.94,0.08,-0.41,-0.08,0.95,0.38,-0.99,0.0,-0.74,0.0,0.0,25.0
69.0,85.0,75.67,1.0,-0.27,-0.26,-0.26,-0.24,-0.22,-0.23,0.93,0.94,0.93,0.0,0.0,24.0
70.0,72.0,71.33,1.0,0.08,0.09,0.08,0.96,0.97,0.96,0.24,0.25,0.25,0.0,0.0,19.0
83.0,84.0,83.17,1.0,-0.26,-0.25,-0.26,-0.34,-0.33,-0.33,0.9,0.91,0.9,0.0,0.0,12.0
67.0,75.0,70.5,1.0,-0.07,0.72,0.2,-0.32,0.76,0.18,-1.04,-0.66,-0.95,0.0,0.0,24.0
84.0,95.0,87.2,1.0,-0.42,-0.19,-0.33,0.76,1.04,0.9,-0.12,0.56,0.24,0.0,0.0,12.0
51.0,95.0,80.2,1.0,0.61,0.81,0.7,-0.65,-0.51,-0.58,-0.48,-0.29,-0.41,0.0,0.0,3.0
61.0,69.0,65.0,1.0,-0.04,0.26,0.19,-0.98,0.44,0.13,-1.22,-0.33,-0.95,0.0,0.0,24.0
71.0,74.0,72.17,1.0,0.08,0.09,0.09,0.96,0.97,0.97,0.24,0.25,0.25,0.0,0.0,19.0
64.0,66.0,65.0,0.99,0.15,0.15,0.15,-0.88,-0.87,-0.88,0.44,0.45,0.44,0.0,0.0,22.0
56.0,57.0,56.17,1.01,-0.18,-0.17,-0.17,0.72,0.73,0.73,-0.68,-0.67,-0.67,0.0,0.0,1.0
49.0,50.0,49.83,1.0,-0.27,-0.26,-0.27,-0.32,-0.3,-0.31,-0.92,-0.91,-0.91,0.0,0.0,20.0
50.0,53.0,52.0,1.0,-0.19,-0.17,-0.18,-0.01,0.04,0.02,-0.99,-0.97,-0.98,0.0,0.0,5.0
71.0,75.0,73.33,1.0,0.22,0.23,0.23,-0.05,-0.04,-0.05,-0.97,-0.97,-0.97,0.0,0.0,21.0
60.0,62.0,60.29,1.01,-0.15,-0.09,-0.11,0.97,1.02,0.99,-0.21,-0.14,-0.18,0.0,0.0,22.0
