Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
51.0,52.0,51.17,1.0,-0.49,-0.48,-0.48,-0.71,-0.7,-0.71,0.51,0.51,0.51,0.0,5.0,25.0
52.0,54.0,53.0,1.0,-0.45,-0.44,-0.45,-0.72,-0.71,-0.72,0.52,0.53,0.53,0.0,0.0,25.0
50.0,50.0,50.0,1.0,-0.57,-0.56,-0.57,-0.72,-0.71,-0.72,0.39,0.4,0.4,0.0,5.0,25.0
48.0,60.0,50.6,1.0,-0.13,-0.12,-0.13,-0.98,-0.97,-0.98,0.15,0.17,0.16,0.0,0.0,25.0
55.0,56.0,55.17,0.99,-0.4,-0.39,-0.39,0.11,0.14,0.12,-0.91,-0.9,-0.9,0.0,0.0,25.0
50.0,62.0,52.4,1.0,-0.1,-0.09,-0.09,0.16,0.17,0.16,-0.98,-0.97,-0.98,0.0,5.0,25.0
54.0,64.0,60.33,1.0,-0.25,-0.24,-0.24,0.07,0.09,0.08,-0.97,-0.96,-0.96,0.0,5.0,25.0
51.0,51.0,51.0,0.99,-0.43,-0.41,-0.42,-0.38,-0.36,-0.37,-0.82,-0.81,-0.82,0.0,5.0,25.0
49.0,50.0,49.57,1.0,-0.48,-0.48,-0.48,-0.71,-0.71,-0.71,0.51,0.51,0.51,0.0,5.0,25.0
50.0,53.0,51.33,0.99,-0.42,-0.41,-0.41,-0.14,-0.13,-0.13,-0.9,-0.89,-0.89,0.0,5.0,25.0
59.0,59.0,59.0,1.01,-1.13,0.93,-0.36,-1.24,1.07,0.09,-0.98,0.89,-0.74,0.0,0.0,25.0
54.0,55.0,54.83,0.99,-0.38,-0.36,-0.37,0.25,0.3,0.28,-0.91,-0.86,-0.88,0.0,0.0,25.0
54.0,54.0,54.0,0.99,-0.43,-0.34,-0.38,0.11,0.49,0.24,-0.91,-0.78,-0.88,0.0,0.0,25.0
60.0,65.0,62.6,1.0,-0.56,-0.55,-0.56,-0.69,-0.68,-0.68,0.46,0.47,0.47,0.0,5.0,25.0
50.0,55.0,52.67,0.99,-0.44,-0.43,-0.44,-0.41,-0.38,-0.39,-0.81,-0.79,-0.8,0.0,5.0,25.0
55.0,68.0,61.8,0.99,-0.34,-0.3,-0.32,0.36,0.55,0.47,-0.86,-0.77,-0.81,0.0,0.0,25.0
50.0,51.0,50.17,0.99,-0.43,-0.41,-0.42,-0.38,-0.36,-0.37,-0.82,-0.81,-0.82,0.0,5.0,25.0
78.0,85.0,81.17,1.0,-0.14,-0.13,-0.13,-0.97,-0.97,-0.97,0.18,0.19,0.19,0.0,5.0,25.0
55.0,56.0,55.33,0.99,-0.44,-0.43,-0.43,-0.4,-0.38,-0.39,-0.82,-0.79,-0.8,0.0,5.0,25.0
50.0,60.0,55.83,0.99,-0.44,-0.43,-0.43,-0.4,-0.38,-0.39,-0.81,-0.79,-0.8,0.0,5.0,25.0
48.0,52.0,50.17,0.99,-0.34,-0.33,-0.34,0.28,0.29,0.29,-0.89,-0.88,-0.89,0.0,0.0,25.0
50.0,51.0,50.2,1.0,-0.45,-0.44,-0.45,-0.73,-0.7,-0.71,0.5,0.56,0.54,0.0,5.0,25.0
50.0,51.0,50.57,1.0,-0.47,-0.46,-0.47,-0.76,-0.75,-0.76,0.44,0.45,0.45,0.0,5.0,25.0
56.0,56.0,56.0,0.99,-0.61,0.26,-0.41,-1.14,-0.12,-0.41,-0.92,-0.04,-0.76,0.0,5.0,25.0
52.0,53.0,52.67,0.99,-0.34,-0.31,-0.33,0.23,0.27,0.26,-0.91,-0.89,-0.9,0.0,0.0,25.0
49.0,50.0,49.2,1.0,-0.49,-0.48,-0.48,-0.71,-0.7,-0.71,0.51,0.52,0.51,0.0,5.0,25.0
54.0,54.0,54.0,0.99,-0.36,-0.32,-0.34,0.4,0.54,0.48,-0.86,-0.75,-0.8,0.0,0.0,25.0
59.0,59.0,59.0,0.99,-0.35,-0.33,-0.34,0.28,0.29,0.28,-0.89,-0.88,-0.89,0.0,5.0,25.0
53.0,54.0,53.17,0.99,-0.42,-0.41,-0.42,-0.38,-0.36,-0.37,-0.82,-0.81,-0.82,0.0,5.0,25.0
60.0,61.0,60.33,1.0,-0.21,-0.2,-0.21,-0.94,-0.93,-0.94,0.25,0.27,0.26,0.0,5.0,25.0
50.0,52.0,51.17,0.99,-0.43,-0.41,-0.42,-0.38,-0.36,-0.37,-0.82,-0.81,-0.82,0.0,5.0,25.0
50.0,51.0,50.17,1.0,-0.47,-0.46,-0.46,-0.76,-0.75,-0.75,0.45,0.46,0.45,0.0,5.0,25.0
56.0,59.0,58.0,0.99,-0.35,-0.33,-0.34,0.28,0.29,0.28,-0.89,-0.88,-0.89,0.0,5.0,25.0
61.0,62.0,61.67,1.0,-0.56,-0.55,-0.55,-0.71,-0.7,-0.7,0.43,0.44,0.43,0.0,5.0,25.0
61.0,65.0,62.83,0.99,-0.29,-0.28,-0.29,-0.03,-0.02,-0.02,-0.96,-0.95,-0.95,0.0,5.0,25.0
49.0,51.0,50.0,1.0,-0.48,-0.47,-0.48,-0.71,-0.7,-0.71,0.51,0.51,0.51,0.0,5.0,25.0
50.0,50.0,50.0,1.02,-1.0,1.38,0.22,-0.18,1.54,0.56,-0.94,0.47,-0.2,1.0,2.0,25.0
51.0,51.0,51.0,1.0,-0.49,-0.49,-0.49,-0.71,-0.7,-0.71,0.5,0.51,0.5,1.0,2.0,25.0
50.0,52.0,51.33,1.04,-0.76,1.54,0.54,0.02,1.79,0.62,-1.29,0.68,-0.29,1.0,2.0,25.0
57.0,61.0,57.67,0.99,-0.33,-0.32,-0.32,0.34,0.35,0.35,-0.88,-0.87,-0.87,1.0,3.0,25.0
50.0,56.0,52.0,1.0,-0.09,-0.09,-0.09,0.16,0.17,0.17,-0.98,-0.97,-0.98,1.0,2.0,25.0
50.0,58.0,53.5,1.0,-0.49,-0.49,-0.49,-0.71,-0.71,-0.71,0.5,0.51,0.5,1.0,2.0,25.0
63.0,65.0,64.0,0.99,-0.34,-0.32,-0.33,0.27,0.31,0.3,-0.89,-0.88,-0.89,1.0,2.0,25.0
49.0,52.0,50.5,1.0,-0.39,-0.38,-0.39,-0.76,-0.74,-0.75,0.52,0.54,0.53,1.0,2.0,25.0
49.0,50.0,49.57,1.0,-0.49,-0.49,-0.49,-0.71,-0.7,-0.71,0.5,0.51,0.5,1.0,2.0,25.0
53.0,56.0,54.0,0.99,-0.62,-0.36,-0.4,-0.76,-0.48,-0.56,-0.77,-0.33,-0.7,1.0,1.0,25.0
51.0,52.0,51.4,0.99,-0.34,-0.33,-0.33,0.28,0.29,0.28,-0.9,-0.89,-0.89,1.0,2.0,25.0
52.0,54.0,52.83,0.99,-0.34,-0.33,-0.34,0.28,0.29,0.29,-0.89,-0.88,-0.89,1.0,2.0,25.0
48.0,49.0,48.83,0.99,-0.34,-0.33,-0.33,0.28,0.3,0.29,-0.89,-0.87,-0.89,1.0,3.0,25.0
52.0,53.0,52.25,1.0,-0.56,-0.55,-0.55,-0.55,-0.54,-0.54,0.62,0.63,0.63,1.0,2.0,25.0
61.0,68.0,64.6,1.0,-0.55,-0.54,-0.54,-0.68,-0.67,-0.68,0.49,0.49,0.49,1.0,2.0,25.0
