Min_hr,Max_hr,Mean_hr,Men_acc_sqrt,Min_acc_x,Max_acc_x,Mean_acc_x,Min_acc_y,Max_acc_y,Mean_acc_y,Min_acc_z,Max_acc_z,Mean_acc_z,Etiquetas binarias,Etiquetas multiclase,ID
49.0,55.0,51.17,1.0,-0.35,-0.35,-0.35,-0.14,-0.11,-0.13,-0.94,-0.92,-0.93,0.0,0.0,27.0
54.0,60.0,56.2,1.0,-0.35,-0.34,-0.35,-0.14,-0.11,-0.13,-0.95,-0.92,-0.93,0.0,0.0,27.0
50.0,57.0,53.8,1.0,-0.35,-0.35,-0.35,-0.14,-0.12,-0.13,-0.94,-0.92,-0.93,0.0,0.0,27.0
52.0,59.0,55.2,1.0,-0.35,-0.35,-0.35,-0.14,-0.12,-0.13,-0.94,-0.92,-0.93,0.0,0.0,27.0
55.0,57.0,55.67,1.0,-0.35,-0.35,-0.35,-0.13,-0.11,-0.12,-0.94,-0.92,-0.93,0.0,0.0,27.0
54.0,61.0,57.5,1.0,-0.2,-0.18,-0.18,-0.64,-0.57,-0.61,-0.79,-0.75,-0.77,0.0,0.0,27.0
56.0,60.0,58.67,1.0,-0.66,-0.27,-0.47,-0.41,0.36,0.11,-1.2,-0.72,-0.87,0.0,0.0,27.0
49.0,59.0,56.6,1.0,0.49,0.5,0.5,-0.63,-0.62,-0.62,-0.6,-0.59,-0.6,0.0,0.0,27.0
56.0,63.0,58.83,1.0,-0.35,-0.34,-0.35,-0.14,-0.12,-0.13,-0.94,-0.92,-0.93,0.0,0.0,27.0
51.0,55.0,53.17,1.0,-0.35,-0.34,-0.35,-0.14,-0.12,-0.13,-0.94,-0.92,-0.93,0.0,0.0,27.0
54.0,58.0,55.6,1.0,-0.83,-0.18,-0.47,-1.05,0.18,-0.28,-0.89,0.25,-0.76,0.0,0.0,27.0
51.0,59.0,54.5,1.0,-0.35,-0.34,-0.35,-0.13,-0.11,-0.12,-0.94,-0.92,-0.93,0.0,0.0,27.0
55.0,58.0,56.67,0.99,-0.31,-0.29,-0.3,-0.87,-0.86,-0.87,0.36,0.39,0.37,0.0,0.0,27.0
59.0,67.0,62.17,1.0,-1.07,-0.09,-0.39,-1.06,0.54,-0.4,-0.88,0.95,-0.0,1.0,1.0,27.0
59.0,64.0,62.17,1.0,-0.45,-0.41,-0.43,0.07,0.31,0.17,-0.97,-0.84,-0.89,1.0,1.0,27.0
58.0,58.0,58.0,0.99,-0.11,-0.11,-0.11,-0.93,-0.92,-0.92,0.34,0.35,0.35,1.0,1.0,27.0
55.0,58.0,56.33,0.99,-0.3,-0.29,-0.3,-0.88,-0.86,-0.87,0.37,0.39,0.39,1.0,1.0,27.0
63.0,65.0,63.4,1.0,-0.35,-0.34,-0.34,-0.13,-0.11,-0.12,-0.94,-0.93,-0.93,1.0,1.0,27.0
56.0,62.0,58.0,1.0,0.03,0.8,0.57,-0.51,0.08,-0.12,-1.05,-0.69,-0.8,1.0,2.0,27.0
52.0,58.0,55.4,0.99,-0.14,-0.13,-0.13,-0.93,-0.92,-0.92,0.34,0.36,0.35,1.0,2.0,27.0
56.0,59.0,57.33,1.0,-0.47,-0.42,-0.43,0.15,0.26,0.18,-0.92,-0.86,-0.89,1.0,2.0,27.0
54.0,58.0,56.0,1.0,-0.46,-0.45,-0.45,0.07,0.09,0.08,-0.9,-0.88,-0.89,1.0,2.0,27.0
59.0,60.0,59.33,1.0,0.5,0.51,0.5,-0.62,-0.62,-0.62,-0.6,-0.59,-0.6,1.0,2.0,27.0
59.0,64.0,59.83,1.0,-0.39,-0.38,-0.39,-0.16,-0.14,-0.15,-0.92,-0.9,-0.91,1.0,2.0,27.0
57.0,65.0,60.67,1.0,0.58,0.59,0.59,-0.72,-0.72,-0.72,-0.37,-0.35,-0.36,1.0,2.0,27.0
55.0,58.0,56.5,1.0,0.47,0.53,0.51,-0.67,-0.61,-0.62,-0.6,-0.55,-0.59,1.0,2.0,27.0
55.0,56.0,55.17,0.99,-0.29,-0.29,-0.29,-0.88,-0.88,-0.88,0.36,0.37,0.37,1.0,2.0,27.0
58.0,58.0,58.0,0.99,-0.11,-0.11,-0.11,-0.93,-0.92,-0.92,0.34,0.35,0.35,1.0,2.0,27.0
53.0,57.0,56.17,0.99,-0.32,-0.31,-0.31,-0.85,-0.84,-0.85,0.42,0.42,0.42,1.0,3.0,27.0
57.0,59.0,57.83,1.0,-0.46,-0.45,-0.45,0.07,0.09,0.08,-0.9,-0.88,-0.89,1.0,3.0,27.0
54.0,56.0,55.0,0.99,-0.29,-0.29,-0.29,-0.88,-0.88,-0.88,0.36,0.37,0.37,1.0,3.0,27.0
51.0,54.0,52.43,0.99,-0.29,-0.28,-0.29,-0.88,-0.87,-0.88,0.36,0.37,0.37,1.0,3.0,27.0
52.0,53.0,52.17,0.99,-0.31,-0.3,-0.31,-0.85,-0.85,-0.85,0.41,0.42,0.42,0.0,5.0,27.0
50.0,55.0,51.17,1.0,-0.46,-0.45,-0.45,0.07,0.1,0.08,-0.9,-0.88,-0.89,0.0,5.0,27.0
56.0,59.0,58.17,1.0,0.52,0.54,0.53,0.26,0.29,0.28,-0.82,-0.79,-0.81,0.0,5.0,27.0
55.0,81.0,68.5,1.0,0.58,0.6,0.59,-0.51,-0.5,-0.51,-0.63,-0.6,-0.62,0.0,5.0,27.0
56.0,57.0,56.67,1.0,0.59,0.6,0.59,-0.52,-0.49,-0.51,-0.63,-0.61,-0.62,0.0,5.0,27.0
58.0,59.0,58.86,1.0,0.52,0.56,0.53,0.26,0.34,0.28,-0.81,-0.75,-0.8,0.0,5.0,27.0
57.0,61.0,58.33,0.98,-0.41,0.14,-0.16,0.75,1.09,0.92,-0.41,-0.0,-0.2,0.0,5.0,27.0
56.0,58.0,56.67,1.0,0.5,0.5,0.5,-0.63,-0.62,-0.62,-0.6,-0.59,-0.6,0.0,5.0,27.0
59.0,59.0,59.0,1.0,0.59,0.6,0.59,-0.51,-0.49,-0.5,-0.63,-0.62,-0.63,0.0,5.0,27.0
64.0,67.0,64.83,1.0,-0.56,-0.55,-0.55,0.31,0.32,0.32,-0.78,-0.77,-0.78,0.0,0.0,1.0
68.0,72.0,69.17,1.01,-0.81,0.17,-0.46,-0.86,0.71,0.14,-1.35,-0.38,-0.82,0.0,0.0,1.0
60.0,60.0,60.0,0.99,-0.29,-0.29,-0.29,-0.5,-0.49,-0.5,0.81,0.81,0.81,0.0,0.0,1.0
60.0,65.0,62.67,1.0,-0.55,-0.54,-0.55,0.37,0.38,0.37,-0.76,-0.75,-0.75,0.0,0.0,1.0
60.0,60.0,60.0,0.99,-0.11,-0.11,-0.11,-0.73,-0.73,-0.73,0.66,0.66,0.66,0.0,0.0,1.0
67.0,74.0,68.67,1.0,-0.76,-0.47,-0.6,-0.66,0.35,-0.22,-0.86,-0.52,-0.73,0.0,0.0,1.0
61.0,64.0,62.8,0.99,-0.07,-0.07,-0.07,-0.84,-0.83,-0.83,0.53,0.54,0.54,0.0,0.0,1.0
59.0,61.0,60.0,0.99,-0.12,-0.11,-0.11,-0.73,-0.73,-0.73,0.66,0.67,0.66,0.0,0.0,1.0
68.0,69.0,68.2,1.0,-0.56,-0.55,-0.55,0.27,0.29,0.28,-0.8,-0.78,-0.79,0.0,0.0,1.0
61.0,63.0,62.0,1.0,-0.55,-0.54,-0.55,0.37,0.38,0.37,-0.76,-0.75,-0.75,0.0,0.0,1.0
60.0,64.0,62.33,0.99,-0.08,-0.07,-0.07,-0.84,-0.83,-0.83,0.53,0.54,0.54,0.0,0.0,1.0
61.0,63.0,62.5,0.99,-0.07,-0.07,-0.07,-0.84,-0.83,-0.83,0.53,0.54,0.53,0.0,0.0,1.0
61.0,64.0,62.33,0.99,-0.08,-0.06,-0.08,-0.83,-0.81,-0.82,0.54,0.57,0.55,0.0,0.0,1.0
66.0,67.0,66.83,1.0,-0.56,-0.55,-0.55,0.31,0.32,0.31,-0.78,-0.77,-0.78,0.0,0.0,1.0
66.0,67.0,66.5,1.0,-0.56,-0.55,-0.55,0.31,0.32,0.31,-0.78,-0.77,-0.77,0.0,0.0,1.0
67.0,68.0,67.17,1.0,-0.55,-0.54,-0.55,0.37,0.39,0.38,-0.76,-0.74,-0.75,1.0,1.0,1.0
62.0,64.0,63.0,1.0,-0.5,-0.49,-0.49,0.05,0.07,0.06,-0.88,-0.86,-0.87,1.0,1.0,1.0
63.0,65.0,63.6,1.0,-0.55,-0.54,-0.55,0.37,0.38,0.38,-0.76,-0.75,-0.75,1.0,1.0,1.0
67.0,68.0,67.67,1.0,-0.39,-0.38,-0.38,0.09,0.11,0.1,-0.93,-0.92,-0.92,1.0,2.0,1.0
